Sample,Ind,Month,species,propDiet,season
Sample14,Ind25,4,lingcod,0,Spring
Sample14,Ind25,4,arrowtooth flounder,0,Spring
Sample14,Ind25,4,Pacific halibut,0.08577532123478063,Spring
Sample15,Ind5,4,Chinook salmon,0.4694382634744808,Spring
Sample15,Ind5,4,chum salmon,0.19848091603100673,Spring
Sample15,Ind5,4,coho salmon,0.20667562415067395,Spring
Sample15,Ind5,4,steelhead salmon,0.1215430345818543,Spring
Sample15,Ind5,4,pink salmon,0,Spring
Sample15,Ind5,4,sablefish,0,Spring
Sample15,Ind5,4,lingcod,0,Spring
Sample15,Ind5,4,arrowtooth flounder,0,Spring
Sample15,Ind5,4,Pacific halibut,0,Spring
Sample16,Ind14,7,Chinook salmon,0.9128706587426193,Summer
Sample16,Ind14,7,chum salmon,0,Summer
Sample16,Ind14,7,coho salmon,0.07380644974947882,Summer
Sample16,Ind14,7,steelhead salmon,0.01332289150790185,Summer
Sample16,Ind14,7,pink salmon,0,Summer
Sample16,Ind14,7,sablefish,0,Summer
Sample16,Ind14,7,lingcod,0,Summer
Sample16,Ind14,7,arrowtooth flounder,0,Summer
Sample16,Ind14,7,Pacific halibut,0,Summer
Sample17,Ind20,1,Chinook salmon,0,Winter
Sample17,Ind20,1,chum salmon,0.6656273149728663,Winter
Sample17,Ind20,1,coho salmon,0,Winter
Sample17,Ind20,1,steelhead salmon,0.017091241454612112,Winter
Sample17,Ind20,1,pink salmon,0,Winter
Sample17,Ind20,1,sablefish,0,Winter
Sample17,Ind20,1,lingcod,0.25455466628889,Winter
Sample17,Ind20,1,arrowtooth flounder,0.055784571339707774,Winter
Sample17,Ind20,1,Pacific halibut,0,Winter
Sample18,Ind26,11,Chinook salmon,0.01744130147712073,Autumn
Sample18,Ind26,11,chum salmon,0.39380895305244945,Autumn
Sample18,Ind26,11,coho salmon,0.10802828115648606,Autumn
Sample18,Ind26,11,steelhead salmon,0,Autumn
Sample18,Ind26,11,pink salmon,0,Autumn
Sample18,Ind26,11,sablefish,0.17123106407789276,Autumn
Sample18,Ind26,11,lingcod,0,Autumn
Sample18,Ind26,11,arrowtooth flounder,0.3001315480110063,Autumn
Sample18,Ind26,11,Pacific halibut,0,Autumn
Sample19,Ind18,5,Chinook salmon,0.6769506513050518,Spring
Sample19,Ind18,5,chum salmon,0,Spring
Sample19,Ind18,5,coho salmon,0.3045663982917412,Spring
Sample19,Ind18,5,steelhead salmon,0,Spring
Sample19,Ind18,5,pink salmon,0,Spring
Sample19,Ind18,5,sablefish,0,Spring
Sample19,Ind18,5,lingcod,0,Spring
Sample19,Ind18,5,arrowtooth flounder,0.01176107650646206,Spring
Sample19,Ind18,5,Pacific halibut,0,Spring
Sample20,Ind15,6,Chinook salmon,0.9031708981075127,Spring
Sample20,Ind15,6,chum salmon,0,Spring
Sample20,Ind15,6,coho salmon,0.07177291356723418,Spring
Sample20,Ind15,6,steelhead salmon,0.025056188325253102,Spring
Sample20,Ind15,6,pink salmon,0,Spring
Sample20,Ind15,6,sablefish,0,Spring
Sample20,Ind15,6,lingcod,0,Spring
Sample20,Ind15,6,arrowtooth flounder,0,Spring
Sample20,Ind15,6,Pacific halibut,0,Spring
Sample21,Ind3,4,Chinook salmon,0.5124366729652932,Spring
Sample21,Ind3,4,chum salmon,0.24496660626531758,Spring
Sample21,Ind3,4,coho salmon,0.07943210175283698,Spring
Sample21,Ind3,4,steelhead salmon,0,Spring
Sample21,Ind3,4,pink salmon,0,Spring
Sample21,Ind3,4,sablefish,0,Spring
Sample21,Ind3,4,lingcod,0,Spring
Sample21,Ind3,4,arrowtooth flounder,0,Spring
Sample21,Ind3,4,Pacific halibut,0.15835712285013992,Spring
Sample22,Ind9,2,Chinook salmon,0.4398563534786325,Winter
Sample22,Ind9,2,chum salmon,0.20400346906225103,Winter
Sample22,Ind9,2,coho salmon,0,Winter
Sample22,Ind9,2,steelhead salmon,0.03133462676139628,Winter
Sample22,Ind9,2,pink salmon,0,Winter
Sample22,Ind9,2,sablefish,0,Winter
Sample22,Ind9,2,lingcod,0.24975601118279875,Winter
Sample22,Ind9,2,arrowtooth flounder,0,Winter
Sample22,Ind9,2,Pacific halibut,0.07264826266722701,Winter
Sample23,Ind25,10,Chinook salmon,0.3877987629961325,Autumn
Sample23,Ind25,10,chum salmon,0.23756648070342032,Autumn
Sample23,Ind25,10,coho salmon,0.09724472684127512,Autumn
Sample23,Ind25,10,steelhead salmon,0,Autumn
Sample23,Ind25,10,pink salmon,0,Autumn
Sample23,Ind25,10,sablefish,0.1512623200366238,Autumn
Sample23,Ind25,10,lingcod,0,Autumn
Sample23,Ind25,10,arrowtooth flounder,0.12194214213534406,Autumn
Sample23,Ind25,10,Pacific halibut,0,Autumn
Sample24,Ind27,9,Chinook salmon,0.2344170707381602,Summer
Sample24,Ind27,9,chum salmon,0.2924044403605733,Summer
Sample24,Ind27,9,coho salmon,0.45652756494909497,Summer
Sample24,Ind27,9,steelhead salmon,0,Summer
Sample24,Ind27,9,pink salmon,0,Summer
Sample24,Ind27,9,sablefish,0,Summer
Sample24,Ind27,9,lingcod,0,Summer
Sample24,Ind27,9,arrowtooth flounder,0,Summer
Sample24,Ind27,9,Pacific halibut,0,Summer
Sample25,Ind4,11,Chinook salmon,0.1635531638621165,Autumn
Sample25,Ind4,11,chum salmon,0.3473269911073284,Autumn
Sample25,Ind4,11,coho salmon,0.18289073241742113,Autumn
Sample25,Ind4,11,steelhead salmon,0.013433635751599454,Autumn
Sample25,Ind4,11,pink salmon,0,Autumn
Sample25,Ind4,11,sablefish,0.22200316606096762,Autumn
Sample25,Ind4,11,lingcod,0,Autumn
Sample25,Ind4,11,arrowtooth flounder,0.07079198469111289,Autumn
Sample25,Ind4,11,Pacific halibut,0,Autumn
Sample26,Ind5,12,Chinook salmon,0.029721567501055854,Autumn
Sample26,Ind5,12,chum salmon,0.4823821867012307,Autumn
Sample26,Ind5,12,coho salmon,0,Autumn
Sample26,Ind5,12,steelhead salmon,0.21251790984677252,Autumn
Sample26,Ind5,12,pink salmon,0,Autumn
Sample26,Ind5,12,sablefish,0.07554207946106249,Autumn
Sample26,Ind5,12,lingcod,0,Autumn
Sample26,Ind5,12,arrowtooth flounder,0.1975417110375311,Autumn
Sample26,Ind5,12,Pacific halibut,0,Autumn
Sample27,Ind13,6,Chinook salmon,0.9446007193159648,Spring
Sample27,Ind13,6,chum salmon,0,Spring
Sample27,Ind13,6,coho salmon,0.04905930859779365,Spring
Sample27,Ind13,6,steelhead salmon,0,Spring
Sample27,Ind13,6,pink salmon,0,Spring
Sample27,Ind13,6,sablefish,0,Spring
Sample27,Ind13,6,lingcod,0,Spring
Sample27,Ind13,6,arrowtooth flounder,0,Spring
Sample27,Ind13,6,Pacific halibut,0,Spring
Sample28,Ind5,10,Chinook salmon,0.24314427863638072,Autumn
Sample28,Ind5,10,chum salmon,0.2896263501897401,Autumn
Sample28,Ind5,10,coho salmon,0.1559321194949613,Autumn
Sample28,Ind5,10,steelhead salmon,0,Autumn
Sample28,Ind5,10,pink salmon,0,Autumn
Sample28,Ind5,10,sablefish,0.2222431396460759,Autumn
Sample28,Ind5,10,lingcod,0,Autumn
Sample28,Ind5,10,arrowtooth flounder,0.08803019155097155,Autumn
Sample28,Ind5,10,Pacific halibut,0,Autumn
Sample29,Ind20,9,Chinook salmon,0.2690886407662481,Summer
Sample29,Ind20,9,chum salmon,0.33937065812929446,Summer
Sample29,Ind20,9,coho salmon,0.3701846795528261,Summer
Sample29,Ind20,9,steelhead salmon,0,Summer
Sample29,Ind20,9,pink salmon,0,Summer
Sample29,Ind20,9,sablefish,0,Summer
Sample29,Ind20,9,lingcod,0,Summer
Sample29,Ind20,9,arrowtooth flounder,0,Summer
Sample29,Ind20,9,Pacific halibut,0,Summer
Sample30,Ind2,7,Chinook salmon,0.8904421732633234,Summer
Sample30,Ind2,7,chum salmon,0,Summer
Sample30,Ind2,7,coho salmon,0.09662260673561442,Summer
Sample30,Ind2,7,steelhead salmon,0.012935220001062087,Summer
Sample30,Ind2,7,pink salmon,0,Summer
Sample30,Ind2,7,sablefish,0,Summer
Sample30,Ind2,7,lingcod,0,Summer
Sample30,Ind2,7,arrowtooth flounder,0,Summer
Sample30,Ind2,7,Pacific halibut,0,Summer
Sample31,Ind28,10,Chinook salmon,0.5430467033907762,Autumn
Sample31,Ind28,10,chum salmon,0.09170580251681587,Autumn
Sample31,Ind28,10,coho salmon,0.13594954614333424,Autumn
Sample31,Ind28,10,steelhead salmon,0.010952055142203432,Autumn
Sample31,Ind28,10,pink salmon,0,Autumn
Sample31,Ind28,10,sablefish,0.1639545461896757,Autumn
Sample31,Ind28,10,lingcod,0,Autumn
Sample31,Ind28,10,arrowtooth flounder,0.05439133695872219,Autumn
Sample31,Ind28,10,Pacific halibut,0,Autumn
Sample32,Ind8,3,Chinook salmon,0.43664718161624333,Winter
Sample32,Ind8,3,chum salmon,0.14211550775078863,Winter
Sample32,Ind8,3,coho salmon,0.09897519132405332,Winter
Sample32,Ind8,3,steelhead salmon,0,Winter
Sample32,Ind8,3,pink salmon,0,Winter
Sample32,Ind8,3,sablefish,0,Winter
Sample32,Ind8,3,lingcod,0.2056293574336906,Winter
Sample32,Ind8,3,arrowtooth flounder,0.048127680427686906,Winter
Sample32,Ind8,3,Pacific halibut,0.06592754795884681,Winter
Sample33,Ind3,9,Chinook salmon,0.4898062197510815,Summer
Sample33,Ind3,9,chum salmon,0.09203062614398677,Summer
Sample33,Ind3,9,coho salmon,0.3765406349175285,Summer
Sample33,Ind3,9,steelhead salmon,0,Summer
Sample33,Ind3,9,pink salmon,0,Summer
Sample33,Ind3,9,sablefish,0.035543146205176186,Summer
Sample33,Ind3,9,lingcod,0,Summer
Sample33,Ind3,9,arrowtooth flounder,0,Summer
Sample33,Ind3,9,Pacific halibut,0,Summer
Sample34,Ind26,11,Chinook salmon,0.05683222999818886,Autumn
Sample34,Ind26,11,chum salmon,0.34502068948868087,Autumn
Sample34,Ind26,11,coho salmon,0.14884818706534086,Autumn
Sample34,Ind26,11,steelhead salmon,0.02769161845091002,Autumn
Sample34,Ind26,11,pink salmon,0,Autumn
Sample34,Ind26,11,sablefish,0.2635461201462331,Autumn
Sample34,Ind26,11,lingcod,0,Autumn
Sample34,Ind26,11,arrowtooth flounder,0.15804448069085172,Autumn
Sample34,Ind26,11,Pacific halibut,0,Autumn
Sample35,Ind1,3,Chinook salmon,0.36404643025254724,Winter
Sample35,Ind1,3,chum salmon,0.34739830177585923,Winter
Sample35,Ind1,3,coho salmon,0.1278589359785379,Winter
Sample35,Ind1,3,steelhead salmon,0,Winter
Sample35,Ind1,3,pink salmon,0,Winter
Sample35,Ind1,3,sablefish,0,Winter
Sample35,Ind1,3,lingcod,0.11575781697303718,Winter
Sample35,Ind1,3,arrowtooth flounder,0.012849408632883514,Winter
Sample35,Ind1,3,Pacific halibut,0.029031163184892156,Winter
Sample36,Ind10,12,Chinook salmon,0.20900883662076783,Autumn
Sample36,Ind10,12,chum salmon,0.6201843289425292,Autumn
Sample36,Ind10,12,coho salmon,0,Autumn
Sample36,Ind10,12,steelhead salmon,0,Autumn
Sample36,Ind10,12,pink salmon,0,Autumn
Sample36,Ind10,12,sablefish,0,Autumn
Sample36,Ind10,12,lingcod,0,Autumn
Sample36,Ind10,12,arrowtooth flounder,0.1400699173662376,Autumn
Sample36,Ind10,12,Pacific halibut,0.020007313713757878,Autumn
Sample37,Ind24,5,Chinook salmon,0.763083123231759,Spring
Sample37,Ind24,5,chum salmon,0,Spring
Sample37,Ind24,5,coho salmon,0.21958223592013326,Spring
Sample37,Ind24,5,steelhead salmon,0.01670028544940593,Spring
Sample37,Ind24,5,pink salmon,0,Spring
Sample37,Ind24,5,sablefish,0,Spring
Sample37,Ind24,5,lingcod,0,Spring
Sample37,Ind24,5,arrowtooth flounder,0,Spring
Sample37,Ind24,5,Pacific halibut,0,Spring
Sample38,Ind30,4,Chinook salmon,0.3517059321172455,Spring
Sample38,Ind30,4,chum salmon,0.1760623250075302,Spring
Sample38,Ind30,4,coho salmon,0.1967947431542904,Spring
Sample38,Ind30,4,steelhead salmon,0.031426510374558,Spring
Sample38,Ind30,4,pink salmon,0,Spring
Sample38,Ind30,4,sablefish,0,Spring
Sample38,Ind30,4,lingcod,0,Spring
Sample38,Ind30,4,arrowtooth flounder,0,Spring
Sample38,Ind30,4,Pacific halibut,0.24059564899334307,Spring
Sample39,Ind11,10,Chinook salmon,0.2791653239865433,Autumn
Sample39,Ind11,10,chum salmon,0.0931169263193163,Autumn
Sample39,Ind11,10,coho salmon,0.10251948750092064,Autumn
Sample39,Ind11,10,steelhead salmon,0,Autumn
Sample39,Ind11,10,pink salmon,0,Autumn
Sample39,Ind11,10,sablefish,0.1996314171180589,Autumn
Sample39,Ind11,10,lingcod,0,Autumn
Sample39,Ind11,10,arrowtooth flounder,0.32035753935630695,Autumn
Sample39,Ind11,10,Pacific halibut,0,Autumn
Sample40,Ind15,6,Chinook salmon,0.871441977969816,Spring
Sample40,Ind15,6,chum salmon,0,Spring
Sample40,Ind15,6,coho salmon,0.1228274304896657,Spring
Sample40,Ind15,6,steelhead salmon,0,Spring
Sample40,Ind15,6,pink salmon,0,Spring
Sample40,Ind15,6,sablefish,0,Spring
Sample40,Ind15,6,lingcod,0,Spring
Sample40,Ind15,6,arrowtooth flounder,0,Spring
Sample40,Ind15,6,Pacific halibut,0,Spring
Sample41,Ind22,9,Chinook salmon,0.6219523069823986,Summer
Sample41,Ind22,9,chum salmon,0.10457322689649849,Summer
Sample41,Ind22,9,coho salmon,0.20996447154145043,Summer
Sample41,Ind22,9,steelhead salmon,0.031821234178616896,Summer
Sample41,Ind22,9,pink salmon,0,Summer
Sample41,Ind22,9,sablefish,0,Summer
Sample41,Ind22,9,lingcod,0,Summer
Sample41,Ind22,9,arrowtooth flounder,0,Summer
Sample41,Ind22,9,Pacific halibut,0.031279722503802364,Summer
Sample42,Ind26,6,Chinook salmon,0.7167821300327682,Spring
Sample42,Ind26,6,chum salmon,0,Spring
Sample42,Ind26,6,coho salmon,0.24302528295130651,Spring
Sample42,Ind26,6,steelhead salmon,0.04019258701592526,Spring
Sample42,Ind26,6,pink salmon,0,Spring
Sample42,Ind26,6,sablefish,0,Spring
Sample42,Ind26,6,lingcod,0,Spring
Sample42,Ind26,6,arrowtooth flounder,0,Spring
Sample42,Ind26,6,Pacific halibut,0,Spring
Sample43,Ind8,11,Chinook salmon,0,Autumn
Sample43,Ind8,11,chum salmon,0.15066738948282424,Autumn
Sample43,Ind8,11,coho salmon,0.08633640736943247,Autumn
Sample43,Ind8,11,steelhead salmon,0,Autumn
Sample43,Ind8,11,pink salmon,0,Autumn
Sample43,Ind8,11,sablefish,0.6081779576298791,Autumn
Sample43,Ind8,11,lingcod,0,Autumn
Sample43,Ind8,11,arrowtooth flounder,0.15349546728570665,Autumn
Sample43,Ind8,11,Pacific halibut,0,Autumn
Sample44,Ind4,1,Chinook salmon,0,Winter
Sample44,Ind4,1,chum salmon,0.2852978965802947,Winter
Sample44,Ind4,1,coho salmon,0,Winter
Sample44,Ind4,1,steelhead salmon,0,Winter
Sample44,Ind4,1,pink salmon,0,Winter
Sample44,Ind4,1,sablefish,0,Winter
Sample44,Ind4,1,lingcod,0.6930123464746548,Winter
Sample44,Ind4,1,arrowtooth flounder,0,Winter
Sample44,Ind4,1,Pacific halibut,0,Winter
Sample45,Ind4,11,Chinook salmon,0,Autumn
Sample45,Ind4,11,chum salmon,0.2535846913374228,Autumn
Sample45,Ind4,11,coho salmon,0.29188957784153896,Autumn
Sample45,Ind4,11,steelhead salmon,0,Autumn
Sample45,Ind4,11,pink salmon,0,Autumn
Sample45,Ind4,11,sablefish,0.2116954762877932,Autumn
Sample45,Ind4,11,lingcod,0,Autumn
Sample45,Ind4,11,arrowtooth flounder,0.2342225393602907,Autumn
Sample45,Ind4,11,Pacific halibut,0,Autumn
Sample46,Ind22,5,Chinook salmon,0.4300394536919002,Spring
Sample46,Ind22,5,chum salmon,0,Spring
Sample46,Ind22,5,coho salmon,0.4394257586329664,Spring
Sample46,Ind22,5,steelhead salmon,0.11458398891375822,Spring
Sample46,Ind22,5,pink salmon,0,Spring
Sample46,Ind22,5,sablefish,0,Spring
Sample46,Ind22,5,lingcod,0,Spring
Sample46,Ind22,5,arrowtooth flounder,0,Spring
Sample46,Ind22,5,Pacific halibut,0.015916222459329343,Spring
Sample47,Ind18,12,Chinook salmon,0.02290221381776583,Autumn
Sample47,Ind18,12,chum salmon,0.4487992168763088,Autumn
Sample47,Ind18,12,coho salmon,0,Autumn
Sample47,Ind18,12,steelhead salmon,0.03602649938413763,Autumn
Sample47,Ind18,12,pink salmon,0,Autumn
Sample47,Ind18,12,sablefish,0.19990856788577316,Autumn
Sample47,Ind18,12,lingcod,0.09935015231945511,Autumn
Sample47,Ind18,12,arrowtooth flounder,0.193013172488779,Autumn
Sample47,Ind18,12,Pacific halibut,0,Autumn
Sample48,Ind13,5,Chinook salmon,0.8427630154202854,Spring
Sample48,Ind13,5,chum salmon,0,Spring
Sample48,Ind13,5,coho salmon,0.13193123537333123,Spring
Sample48,Ind13,5,steelhead salmon,0.012092296815539059,Spring
Sample48,Ind13,5,pink salmon,0,Spring
Sample48,Ind13,5,sablefish,0,Spring
Sample48,Ind13,5,lingcod,0,Spring
Sample48,Ind13,5,arrowtooth flounder,0.013170463019326294,Spring
Sample48,Ind13,5,Pacific halibut,0,Spring
Sample49,Ind28,6,Chinook salmon,0.917717297164001,Spring
Sample49,Ind28,6,chum salmon,0,Spring
Sample49,Ind28,6,coho salmon,0.06403060649390777,Spring
Sample49,Ind28,6,steelhead salmon,0.018252096342091215,Spring
Sample49,Ind28,6,pink salmon,0,Spring
Sample49,Ind28,6,sablefish,0,Spring
Sample49,Ind28,6,lingcod,0,Spring
Sample49,Ind28,6,arrowtooth flounder,0,Spring
Sample49,Ind28,6,Pacific halibut,0,Spring
Sample50,Ind5,9,Chinook salmon,0.382545575989159,Summer
Sample50,Ind5,9,chum salmon,0.3124610941740676,Summer
Sample50,Ind5,9,coho salmon,0.26865197429100596,Summer
Sample50,Ind5,9,steelhead salmon,0,Summer
Sample50,Ind5,9,pink salmon,0,Summer
Sample50,Ind5,9,sablefish,0.019346510260419513,Summer
Sample50,Ind5,9,lingcod,0,Summer
Sample50,Ind5,9,arrowtooth flounder,0.010692499234310008,Summer
Sample50,Ind5,9,Pacific halibut,0,Summer
Sample51,Ind4,10,Chinook salmon,0.3106601938332628,Autumn
Sample51,Ind4,10,chum salmon,0.16471916461989605,Autumn
Sample51,Ind4,10,coho salmon,0.23513570216467344,Autumn
Sample51,Ind4,10,steelhead salmon,0,Autumn
Sample51,Ind4,10,pink salmon,0,Autumn
Sample51,Ind4,10,sablefish,0.2145244261655467,Autumn
Sample51,Ind4,10,lingcod,0,Autumn
Sample51,Ind4,10,arrowtooth flounder,0.06783246899317351,Autumn
Sample51,Ind4,10,Pacific halibut,0,Autumn
Sample52,Ind2,8,Chinook salmon,0.35447261764229976,Summer
Sample52,Ind2,8,chum salmon,0.1888963509179414,Summer
Sample52,Ind2,8,coho salmon,0.4166020514759878,Summer
Sample52,Ind2,8,steelhead salmon,0,Summer
Sample52,Ind2,8,pink salmon,0,Summer
Sample52,Ind2,8,sablefish,0,Summer
Sample52,Ind2,8,lingcod,0,Summer
Sample52,Ind2,8,arrowtooth flounder,0,Summer
Sample52,Ind2,8,Pacific halibut,0.030724658265679165,Summer
Sample53,Ind24,2,Chinook salmon,0.6154157066330522,Winter
Sample53,Ind24,2,chum salmon,0.17738820681826192,Winter
Sample53,Ind24,2,coho salmon,0,Winter
Sample53,Ind24,2,steelhead salmon,0.011195456966340802,Winter
Sample53,Ind24,2,pink salmon,0,Winter
Sample53,Ind24,2,sablefish,0,Winter
Sample53,Ind24,2,lingcod,0.0726751775127204,Winter
Sample53,Ind24,2,arrowtooth flounder,0,Winter
Sample53,Ind24,2,Pacific halibut,0.11586211108014431,Winter
Sample54,Ind18,7,Chinook salmon,0.8025932753338392,Summer
Sample54,Ind18,7,chum salmon,0,Summer
Sample54,Ind18,7,coho salmon,0.18169481391237163,Summer
Sample54,Ind18,7,steelhead salmon,0.015711910753789277,Summer
Sample54,Ind18,7,pink salmon,0,Summer
Sample54,Ind18,7,sablefish,0,Summer
Sample54,Ind18,7,lingcod,0,Summer
Sample54,Ind18,7,arrowtooth flounder,0,Summer
Sample54,Ind18,7,Pacific halibut,0,Summer
Sample55,Ind3,7,Chinook salmon,0.6261393177935773,Summer
Sample55,Ind3,7,chum salmon,0,Summer
Sample55,Ind3,7,coho salmon,0.3702813874671198,Summer
